nohup: 忽略输入
Dataset
sheet has 5097 rows
====================test  ======================
[1147, 2294, 3441, 4588, 5735, 6882, 8029, 9176, 10323, 11470, 12617, 13764, 14911, 16058, 17205]
./jobs/iter_2294.pth 2000 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.983, discore=0.488, BWdiscore=0.996
./jobs/iter_2294.pth 2100 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.989, discore=0.494, BWdiscore=0.997
./jobs/iter_2294.pth 2200 pa = 0.972, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.486, FWIoU=0.944, discore=0.493, BWdiscore=0.986
./jobs/iter_2294.pth 2300 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.983, discore=0.536, BWdiscore=0.996
./jobs/iter_2294.pth 2400 pa = 0.995, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.990, discore=0.471, BWdiscore=0.997
./jobs/iter_2294.pth 2500 pa = 0.990, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.495, FWIoU=0.980, discore=0.494, BWdiscore=0.995
./jobs/iter_2294.pth 2600 pa = 0.995, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.990, discore=0.511, BWdiscore=0.997
./jobs/iter_2294.pth 2700 pa = 0.977, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.488, FWIoU=0.954, discore=0.485, BWdiscore=0.988
./jobs/iter_2294.pth 2800 pa = 0.993, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.986, discore=0.486, BWdiscore=0.996
./jobs/iter_2294.pth 2900 pa = 0.994, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.497, FWIoU=0.989, discore=0.489, BWdiscore=0.997
./jobs/iter_2294.pth 3000 pa = 0.992, cpa0=0.000, cpa1=1.000, mpa=0.500, mIoU=0.496, FWIoU=0.984, discore=0.493, BWdiscore=0.996
